Timestamp	codapJsonLoad
406.295	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"graph","id":1531}},"typeOfMessage":"CODAPLOGGING","color":304}
412.562	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":304}
417.606	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"delete","type":"DG.GraphView","id":1531,"name":"axis Price visualisation","title":"axis Price visualisation"}},"typeOfMessage":"CODAPLOGGING","color":304}
426.684	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"delete","type":"graph","id":1531}},"typeOfMessage":"CODAPLOGGING","color":304}
433.333	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"delete","type":"DG.GraphView","id":1526,"name":"axis Neighbourhood visualisation","title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":304}
445.152	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"graph","id":1532}},"typeOfMessage":"CODAPLOGGING","color":304}
922.535	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.TextView","id":1530,"title":"Text"}},"typeOfMessage":"CODAPLOGGING","color":304}
924.883	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"edit text","type":"DG.TextView"}},"typeOfMessage":"CODAPLOGGING","color":304}
930.519	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"delete","type":"DG.TextView","id":1530,"name":"Text","title":"Text"}},"typeOfMessage":"CODAPLOGGING","color":304}
1023.934	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":304}
1042.942	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"delete","type":"DG.GraphView","id":1532,"name":"axis Price visualisation","title":"axis Price visualisation"}},"typeOfMessage":"CODAPLOGGING","color":304}
2084.300	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"graph","id":1533}},"typeOfMessage":"CODAPLOGGING","color":304}
2094.544	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":304}
2102.087	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Neighbourhood","attribute":{"id":17,"name":"Neighbourhood","title":"Neighbourhood"},"collection":{"id":6,"name":"cases","title":"cases"},"context":{"id":5,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":304}
