Timestamp	codapJsonLoad
40.656	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Price","attribute":{"id":9,"name":"Price","title":"Price"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
44.906	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"Price","attribute":{"id":9,"name":"Price","title":"Price"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
53.455	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"PID","attribute":{"id":5,"name":"PID","title":"PID"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
55.005	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"PID","attribute":{"id":5,"name":"PID","title":"PID"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
73.036	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize","type":"DG.GraphView","id":4083,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
78.499	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"toggle show as DotPlot","type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":13}
93.758	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize","type":"DG.GraphView","id":4083,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
100.975	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize","type":"DG.GraphView","id":4083,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
116.021	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"PID","attribute":{"id":5,"name":"PID","title":"PID"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
116.742	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"PID","attribute":{"id":5,"name":"PID","title":"PID"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
120.661	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"attributeChange","type":"DG.GraphView","id":4083,"attributeName":"Remove X: PID","axisOrientation":"horizontal"}},"typeOfMessage":"CODAPLOGGING","color":13}
130.979	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"change axis bounds","newBounds":{"lower":-250000,"upper":5630403.458213257},"type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":13}
132.938	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"change axis bounds","newBounds":{"lower":-250000,"upper":5069643.334620755},"type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":13}
133.453	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"change axis bounds","newBounds":{"lower":-250000,"upper":4263116.764533092},"type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":13}
135.724	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"change axis bounds","newBounds":{"lower":1052519.7750804368,"upper":5565636.539613529},"type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":13}
136.241	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"change axis bounds","newBounds":{"lower":1920866.291800728,"upper":6433983.05633382},"type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":13}
138.925	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"change axis bounds","newBounds":{"lower":1920866.291800728,"upper":9673062.073941302},"type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":13}
147.386	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"change axis bounds","newBounds":{"lower":1920866.291800728,"upper":21545305.964072675},"type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":13}
149.864	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"change axis bounds","newBounds":{"lower":0,"upper":21545305.964072675},"type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":13}
154.920	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"change axis bounds","newBounds":{"lower":2168081.103302911,"upper":21545305.964072675},"type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":13}
189.035	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true,"cases":[{"id":3984,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"PID":"029-321-140","Latitude":"49.259256","Longitude":"-123.201659","Price":"4871000","Size":"3498","Building-Type":"Highrise Apartment","Year-Built":"2002","Renovation-Year":"2002","Renovation-Value":"1040000","Land-Value":"3831000","Neighbourhood":"West Point Grey","Floor-Level":"59","Main-View":"East"}}],"extend":false}}},"typeOfMessage":"CODAPLOGGING","color":13}
193.024	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize column","type":"DG.CaseTable"}},"typeOfMessage":"CODAPLOGGING","color":13}
212.112	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4083,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
228.690	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4083,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
234.290	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Year-Built","attribute":{"id":11,"name":"Year-Built","title":"Year-Built"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
237.232	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"Year-Built","attribute":{"id":11,"name":"Year-Built","title":"Year-Built"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
261.278	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Year-Built","attribute":{"id":11,"name":"Year-Built","title":"Year-Built"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
262.619	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"createCollection","result":{"success":true,"collection":4084,"name":"Year-Builts","attribute":"Year-Built"}}},"typeOfMessage":"CODAPLOGGING","color":13}
276.550	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"updateCollection","result":{"success":true,"properties":{"name":"Year-Builts"}}}},"typeOfMessage":"CODAPLOGGING","color":13}
284.292	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Year-Built","attribute":{"id":11,"name":"Year-Built","title":"Year-Built"},"collection":{"id":4084,"name":"Year-Builts","title":"Year-Builts"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
286.048	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"moveAttribute","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":13}
324.744	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4081,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
328.562	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Price","attribute":{"id":9,"name":"Price","title":"Price"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
330.111	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"Price","attribute":{"id":9,"name":"Price","title":"Price"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
333.215	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize","type":"DG.GraphView","id":4081,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
348.904	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4081,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
395.574	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":13}
417.165	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4082,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
418.818	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Price","attribute":{"id":9,"name":"Price","title":"Price"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
420.578	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"Price","attribute":{"id":9,"name":"Price","title":"Price"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
422.235	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Floor-Level","attribute":{"id":16,"name":"Floor-Level","title":"Floor-Level"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":13}
429.568	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"moveAttribute","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":13}
445.134	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4082,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
454.403	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"graph","id":4165}},"typeOfMessage":"CODAPLOGGING","color":13}
457.157	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4165,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
458.757	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4083,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
460.790	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize","type":"DG.GraphView","id":4083,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
461.958	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4083,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
463.309	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4081,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
464.766	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize","type":"DG.GraphView","id":4081,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
467.881	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4081,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
474.114	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"graph","id":4166}},"typeOfMessage":"CODAPLOGGING","color":13}
476.616	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4166,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":13}
