Timestamp	codapJsonLoad
1664.450	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"text"}},"typeOfMessage":"CODAPLOGGING","color":264}
1667.155	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"edit text","type":"DG.TextView"}},"typeOfMessage":"CODAPLOGGING","color":264}
1670.320	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize","type":"DG.TextView","id":1526,"title":"Text"}},"typeOfMessage":"CODAPLOGGING","color":264}
1672.163	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"edit text","type":"DG.TextView"}},"typeOfMessage":"CODAPLOGGING","color":264}
1673.891	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize","type":"DG.TextView","id":1526,"title":"Text"}},"typeOfMessage":"CODAPLOGGING","color":264}
1675.311	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"commitEdit","type":"DG.TextView","id":1526,"title":"Text","text":"{\"object\":\"value\",\"data\":{\"fontSize\":\"1.4\"},\"document\":{\"children\":[{\"type\":\"paragraph\",\"children\":[{\"text\":\"﻿\"}]}],\"objTypes\":{\"paragraph\":\"block\"}}}"}},"typeOfMessage":"CODAPLOGGING","color":264}
1676.449	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"commitEdit","type":"DG.TextView","id":1526,"title":"Text","text":"{\"object\":\"value\",\"data\":{\"fontSize\":\"1.4\"},\"document\":{\"children\":[{\"type\":\"paragraph\",\"children\":[{\"text\":\"﻿\"}]}],\"objTypes\":{\"paragraph\":\"block\"}}}"}},"typeOfMessage":"CODAPLOGGING","color":264}
1677.678	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"commitEdit","type":"DG.TextView","id":1526,"title":"Text","text":"{\"object\":\"value\",\"data\":{\"fontSize\":\"1.4\"},\"document\":{\"children\":[{\"type\":\"paragraph\",\"children\":[{\"text\":\"﻿\"}]}],\"objTypes\":{\"paragraph\":\"block\"}}}"}},"typeOfMessage":"CODAPLOGGING","color":264}
1681.158	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.TextView","id":1526,"title":"Text"}},"typeOfMessage":"CODAPLOGGING","color":264}
1682.843	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"edit text","type":"DG.TextView"}},"typeOfMessage":"CODAPLOGGING","color":264}
1684.616	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"commitEdit","type":"DG.TextView","id":1526,"title":"Text","text":"{\"object\":\"value\",\"data\":{\"fontSize\":\"1.6\"},\"document\":{\"children\":[{\"type\":\"paragraph\",\"children\":[{\"text\":\"﻿\"}]}],\"objTypes\":{\"paragraph\":\"block\"}}}"}},"typeOfMessage":"CODAPLOGGING","color":264}
1777.086	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"commitEdit","type":"DG.TextView","id":1526,"title":"Text","text":"{\"object\":\"value\",\"data\":{\"fontSize\":\"1.6\"},\"document\":{\"children\":[{\"type\":\"paragraph\",\"children\":[{\"text\":\"﻿\"}]}],\"objTypes\":{\"paragraph\":\"block\"}}}"}},"typeOfMessage":"CODAPLOGGING","color":264}
1778.145	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"commitEdit","type":"DG.TextView","id":1526,"title":"Text","text":"{\"object\":\"value\",\"data\":{\"fontSize\":\"1.6\"},\"document\":{\"children\":[{\"type\":\"paragraph\",\"children\":[{\"text\":\"﻿\"}]}],\"objTypes\":{\"paragraph\":\"block\"}}}"}},"typeOfMessage":"CODAPLOGGING","color":264}
2047.985	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Price","attribute":{"id":10,"name":"Price","title":"Price"},"collection":{"id":5,"name":"cases","title":"cases"},"context":{"id":4,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":264}
2049.164	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"Price","attribute":{"id":10,"name":"Price","title":"Price"},"collection":{"id":5,"name":"cases","title":"cases"},"context":{"id":4,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":264}
2054.188	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"graph","id":1527}},"typeOfMessage":"CODAPLOGGING","color":264}
