Timestamp	codapJsonLoad
17.670	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"graph","id":92}},"typeOfMessage":"CODAPLOGGING","color":93}
19.504	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"milligrams of potassium","attribute":{"id":15,"name":"milligrams of potassium","title":"milligrams of potassium"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"cereal","title":"cereal"}}},"typeOfMessage":"CODAPLOGGING","color":93}
20.925	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"milligrams of potassium","attribute":{"id":15,"name":"milligrams of potassium","title":"milligrams of potassium"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"cereal","title":"cereal"}}},"typeOfMessage":"CODAPLOGGING","color":93}
23.092	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Number of cups in one serving","attribute":{"id":19,"name":"Number of cups in one serving","title":"Number of cups in one serving"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"cereal","title":"cereal"}}},"typeOfMessage":"CODAPLOGGING","color":93}
24.692	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"Number of cups in one serving","attribute":{"id":19,"name":"Number of cups in one serving","title":"Number of cups in one serving"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"cereal","title":"cereal"}}},"typeOfMessage":"CODAPLOGGING","color":93}
28.692	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"graph","id":93}},"typeOfMessage":"CODAPLOGGING","color":93}
32.437	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Weight in ounces per one serving","attribute":{"id":18,"name":"Weight in ounces per one serving","title":"Weight in ounces per one serving"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"cereal","title":"cereal"}}},"typeOfMessage":"CODAPLOGGING","color":93}
33.426	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"Weight in ounces per one serving","attribute":{"id":18,"name":"Weight in ounces per one serving","title":"Weight in ounces per one serving"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"cereal","title":"cereal"}}},"typeOfMessage":"CODAPLOGGING","color":93}
