Timestamp	ActionName	ActionSourceObj	ActionSourceObjName	ActionSourceObjID	ActionTargetObj	ActionTargetObjName	ActionTargetObjID
30.903	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-9555084			
30.903	VisEntered	UnityEngine.GameObject	axis Renovation-Value visualisation	-9560970			
31.091	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-9555084			
31.091	VisExited	UnityEngine.GameObject	axis Renovation-Value visualisation	-9560970			
32.159	AxisEntered	UnityEngine.GameObject	axis Latitude	-9552280			
32.159	AxisExited	UnityEngine.GameObject	axis Latitude	-9552280			
32.160	AxisEntered	UnityEngine.GameObject	axis Latitude	-9552280			
32.160	VisEntered	UnityEngine.GameObject	axis Latitude visualisation	-9557834			
32.247	AxisExited	UnityEngine.GameObject	axis Latitude	-9552280			
32.247	VisExited	UnityEngine.GameObject	axis Latitude visualisation	-9557834			
32.247	AxisEntered	UnityEngine.GameObject	axis Latitude	-9552280			
32.271	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
32.272	AxisCloningInitiated	UnityEngine.GameObject	axis Latitude	-9552280			
32.292	AxisExited	UnityEngine.GameObject	axis Latitude	-9552280			
32.496	AxisCloned	UnityEngine.GameObject	axis Latitude	-9563306			
32.658	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
33.080	AxisEntered	UnityEngine.GameObject	axis Latitude	-9563306			
33.080	VisEntered	UnityEngine.GameObject	axis Latitude visualisation	-9563628			
33.125	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
33.125	AxisGrab	UnityEngine.GameObject	axis Latitude	-9563306			
33.125	AxisRelease	UnityEngine.GameObject	axis Latitude	-9563306			
33.136	AxisExited	UnityEngine.GameObject	axis Latitude	-9563306			
33.136	VisExited	UnityEngine.GameObject	axis Latitude visualisation	-9563628			
33.136	AxisEntered	UnityEngine.GameObject	axis Latitude	-9563306			
33.507	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
33.510	AxisReleasedInVis	UnityEngine.GameObject	axis Latitude	-9563306			
33.618	AxisExited	UnityEngine.GameObject	axis Latitude	-9563306			
34.424	AxisEntered	UnityEngine.GameObject	axis Price	-9553264			
34.495	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
34.495	AxisCloningInitiated	UnityEngine.GameObject	axis Price	-9553264			
34.567	AxisExited	UnityEngine.GameObject	axis Price	-9553264			
34.784	AxisCloned	UnityEngine.GameObject	axis Price	-9564112			
34.792	AxisEntered	UnityEngine.GameObject	axis Price	-9564112			
34.804	AxisExited	UnityEngine.GameObject	axis Price	-9564112			
34.891	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
35.225	AxisEntered	UnityEngine.GameObject	axis Price	-9564112			
35.236	AxisExited	UnityEngine.GameObject	axis Price	-9564112			
35.236	AxisEntered	UnityEngine.GameObject	axis Price	-9564112			
35.236	VisEntered	UnityEngine.GameObject	axis Price visualisation	-9564818			
35.247	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
35.247	AxisGrab	UnityEngine.GameObject	axis Price	-9564112			
35.247	AxisRelease	UnityEngine.GameObject	axis Price	-9564112			
35.369	AxisExited	UnityEngine.GameObject	axis Price	-9564112			
35.369	VisExited	UnityEngine.GameObject	axis Price visualisation	-9564818			
35.369	AxisEntered	UnityEngine.GameObject	axis Price	-9564112			
36.050	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
36.054	AxisReleasedInVis	UnityEngine.GameObject	axis Price	-9564112			
