Timestamp	HeadPosition.x	HeadPosition.y	HeadPosition.z	HeadRotation.x	HeadRotation.y	HeadRotation.z	HeadRotation.w	LeftPosition.x	LeftPosition.y	LeftPosition.z	LeftRotation.x	LeftRotation.y	LeftRotation.z	LeftRotation.w	LeftTrigger	LeftGrip	LeftTouchpad	LeftTouchpadAngle	RightPosition.x	RightPosition.y	RightPosition.z	RightRotation.x	RightRotation.y	RightRotation.z	RightRotation.w	RightTrigger	RightGrip	RightTouchpad	RightTouchpadAngle	GazeObject	GazeObjectOriginalOwner	GazeObjectOwner	GazeObjectID	LeftPointObject	LeftPointObjectOriginalOwner	LeftPointObjectOwner	LeftPointObjectID	LeftPointObjectDistanceFromLeftController	LeftGrabbedObject	LeftGrabbedObjectOriginalOwner	LeftGrabbedObjectOwner	LeftGrabbedObjectID	LeftGrabbedObjectDistanceFromLeftController	RightPointObject	RightPointObjectOriginalOwner	RightPointObjectOwner	RightPointObjectID	RightPointObjectDistanceFromRightControllerRightGrabbedObject	RightGrabbedObjectOriginalOwnerRightGrabbedObjectOwner	RightGrabbedObjectIDRightGrabbedObjectDistanceFromRightController
64.6487	0.1633	1.1851	1.6719	0.0116	-0.7751	-0.0064	0.6317	0.0000	0.0000	1.8010	0.0000	1.0000	0.0000	0.0000	False	false	False	False	-0.2161	0.7224	1.7179	0.4139	0.7914	-0.0193	-0.4495	False	false	False	False																								
64.70275	0.1631	1.1843	1.6719	0.0118	-0.7750	-0.0065	0.6318	0.0000	0.0000	1.8010	0.0000	1.0000	0.0000	0.0000	False	false	False	False	-0.2160	0.7222	1.7177	0.4135	0.7917	-0.0198	-0.4492	False	false	False	False																								
64.76102	0.1635	1.1846	1.6719	0.0117	-0.7746	-0.0071	0.6323	0.0000	0.0000	1.8010	0.0000	1.0000	0.0000	0.0000	False	false	False	False	-0.2160	0.7225	1.7180	0.4123	0.7919	-0.0188	-0.4500	False	false	False	False																								
64.81637	0.1639	1.1851	1.6722	0.0116	-0.7741	-0.0074	0.6329	0.0000	0.0000	1.8010	0.0000	1.0000	0.0000	0.0000	False	false	False	False	-0.2166	0.7225	1.7187	0.4102	0.7919	-0.0182	-0.4520	False	false	False	False																								
64.88338	0.1642	1.1853	1.6723	0.0114	-0.7738	-0.0076	0.6333	0.0000	0.0000	1.8010	0.0000	1.0000	0.0000	0.0000	False	false	False	False	-0.2166	0.7226	1.7187	0.4105	0.7920	-0.0182	-0.4516	False	false	False	False																								
64.92795	0.1644	1.1853	1.6723	0.0109	-0.7737	-0.0078	0.6334	0.0000	0.0000	1.8010	0.0000	1.0000	0.0000	0.0000	False	false	False	False	-0.2165	0.7224	1.7184	0.4110	0.7921	-0.0187	-0.4508	False	false	False	False																								
64.98599	0.1646	1.1854	1.6723	0.0108	-0.7739	-0.0073	0.6332	0.0000	0.0000	1.8010	0.0000	1.0000	0.0000	0.0000	False	false	False	False	-0.2165	0.7220	1.7183	0.4119	0.7922	-0.0198	-0.4498	False	false	False	False																								
65.04175	0.1648	1.1855	1.6724	0.0108	-0.7743	-0.0072	0.6327	0.0000	0.0000	1.8010	0.0000	1.0000	0.0000	0.0000	False	false	False	False	-0.2159	0.7216	1.7174	0.4137	0.7927	-0.0207	-0.4474	False	false	False	False																								
65.09764	0.1647	1.1857	1.6725	0.0107	-0.7743	-0.0076	0.6327	0.0000	0.0000	1.8010	0.0000	1.0000	0.0000	0.0000	False	false	False	False	-0.2160	0.7217	1.7176	0.4131	0.7927	-0.0206	-0.4478	False	false	False	False																								
65.15321	0.1647	1.1858	1.6726	0.0107	-0.7740	-0.0077	0.6330	0.0000	0.0000	1.8010	0.0000	1.0000	0.0000	0.0000	False	false	False	False	-0.2162	0.7217	1.7177	0.4118	0.7930	-0.0204	-0.4485	False	false	False	False																								
65.20899	0.1646	1.1858	1.6728	0.0109	-0.7737	-0.0081	0.6335	0.0000	0.0000	1.8010	0.0000	1.0000	0.0000	0.0000	False	false	False	False	-0.2160	0.7217	1.7174	0.4126	0.7928	-0.0210	-0.4481	False	false	False	False																								
