Timestamp	ActionName	ActionSourceObj	ActionSourceObjName	ActionSourceObjID	ActionTargetObj	ActionTargetObjName	ActionTargetObjID
104.376	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
104.377	ExtrusionFromDesktopStarted	UnityEngine.GameObject	MonitorCube(Clone)	-4544044	UnityEngine.GameObject	Controller (right)	18530
105.598	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
105.601	ExtrusionFromDesktopFinishedSuccess	UnityEngine.GameObject	MonitorCube(Clone)	-4544044	UnityEngine.GameObject	Controller (right)	18530
105.619	AxisEntered	UnityEngine.GameObject	axis Longitude	-4544672			
105.653	AxisExited	UnityEngine.GameObject	axis Longitude	-4544672			
105.653	AxisEntered	UnityEngine.GameObject	axis Land-Value	-4544160			
105.653	AxisEntered	UnityEngine.GameObject	axis Longitude	-4544672			
105.653	VisEntered	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992			
106.087	AxisExited	UnityEngine.GameObject	axis Land-Value	-4544160			
106.087	AxisExited	UnityEngine.GameObject	axis Longitude	-4544672			
106.087	VisExited	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992			
106.087	AxisEntered	UnityEngine.GameObject	axis Longitude	-4544672			
106.109	AxisExited	UnityEngine.GameObject	axis Longitude	-4544672			
118.476	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
118.476	ExtrusionFromDesktopStarted	UnityEngine.GameObject	MonitorCube(Clone)	-4545510	UnityEngine.GameObject	Controller (right)	18530
120.234	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
120.237	ExtrusionFromDesktopFinishedSuccess	UnityEngine.GameObject	MonitorCube(Clone)	-4545510	UnityEngine.GameObject	Controller (right)	18530
120.247	AxisEntered	UnityEngine.GameObject	axis Longitude	-4546132			
120.269	AxisExited	UnityEngine.GameObject	axis Longitude	-4546132			
120.269	AxisEntered	UnityEngine.GameObject	axis Land-Value	-4545620			
120.269	AxisEntered	UnityEngine.GameObject	axis Longitude	-4546132			
120.269	VisEntered	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4546452			
120.668	AxisExited	UnityEngine.GameObject	axis Land-Value	-4545620			
120.668	AxisExited	UnityEngine.GameObject	axis Longitude	-4546132			
120.668	VisExited	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4546452			
120.668	AxisEntered	UnityEngine.GameObject	axis Longitude	-4546132			
120.760	AxisExited	UnityEngine.GameObject	axis Longitude	-4546132			
120.800	FilterBubbleCollapsed	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992	UnityEngine.GameObject	FilterBubbleButton	-4545296
121.590	FilterBubbleCollapsed	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992	UnityEngine.GameObject	FilterBubbleButton	-4545296
121.590	AxisEntered	UnityEngine.GameObject	axis Land-Value	-4545620			
122.628	AxisExited	UnityEngine.GameObject	axis Land-Value	-4545620			
122.628	AxisEntered	UnityEngine.GameObject	axis Longitude	-4546132			
122.640	AxisExited	UnityEngine.GameObject	axis Longitude	-4546132			
122.640	AxisEntered	UnityEngine.GameObject	axis Land-Value	-4545620			
122.640	AxisEntered	UnityEngine.GameObject	axis Longitude	-4546132			
122.640	VisEntered	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4546452			
122.987	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
122.988	VisGrabbed	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4546452			
122.989	AxisGrab	UnityEngine.GameObject	axis Longitude	-4546132			
122.989	AxisRelease	UnityEngine.GameObject	axis Longitude	-4546132			
122.990	AxisGrab	UnityEngine.GameObject	axis Land-Value	-4545620			
122.990	AxisRelease	UnityEngine.GameObject	axis Land-Value	-4545620			
123.852	AxisExited	UnityEngine.GameObject	axis Land-Value	-4545620			
123.852	AxisExited	UnityEngine.GameObject	axis Longitude	-4546132			
123.852	VisExited	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4546452			
123.852	AxisEntered	UnityEngine.GameObject	axis Longitude	-4546132			
123.933	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
123.985	AxisExited	UnityEngine.GameObject	axis Longitude	-4546132			
123.985	AxisEntered	UnityEngine.GameObject	axis Land-Value	-4545620			
123.985	AxisEntered	UnityEngine.GameObject	axis Longitude	-4546132			
123.985	VisEntered	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4546452			
123.986	FilterBubbleCollapsed	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992	UnityEngine.GameObject	FilterBubbleButton	-4545296
123.999	FilterBubbleCollapsed	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992	UnityEngine.GameObject	FilterBubbleButton	-4545296
124.030	AxisExited	UnityEngine.GameObject	axis Land-Value	-4545620			
124.030	AxisExited	UnityEngine.GameObject	axis Longitude	-4546132			
124.030	VisExited	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4546452			
124.072	VisHintAreaEntered	UnityEngine.GameObject	SizePrompt	-4546496	UnityEngine.GameObject	axis Latitude visualisation	-4538668
124.086	VisHintAreaExited	UnityEngine.GameObject	SizePrompt	-4546496	UnityEngine.GameObject	axis Latitude visualisation	-4538668
124.141	VisHintAreaEntered	UnityEngine.GameObject	SizePrompt	-4546496	UnityEngine.GameObject	axis PID visualisation	-4538214
124.179	VisHintAreaExited	UnityEngine.GameObject	SizePrompt	-4546496	UnityEngine.GameObject	axis PID visualisation	-4538214
124.405	AxisEntered	UnityEngine.GameObject	axis Land-Value	-4544160			
124.405	AxisEntered	UnityEngine.GameObject	axis Longitude	-4544672			
124.405	VisEntered	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992			
124.476	FilterAdded	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992			
124.940	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
124.941	VisGrabbed	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992			
124.941	AxisGrab	UnityEngine.GameObject	axis Longitude	-4544672			
124.941	AxisRelease	UnityEngine.GameObject	axis Longitude	-4544672			
124.941	AxisGrab	UnityEngine.GameObject	axis Land-Value	-4544160			
124.941	AxisRelease	UnityEngine.GameObject	axis Land-Value	-4544160			
125.430	AxisExited	UnityEngine.GameObject	axis Land-Value	-4544160			
125.430	AxisExited	UnityEngine.GameObject	axis Longitude	-4544672			
125.430	VisExited	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992			
125.516	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
125.548	AxisEntered	UnityEngine.GameObject	axis Land-Value	-4544160			
125.548	AxisEntered	UnityEngine.GameObject	axis Longitude	-4544672			
125.548	VisEntered	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992			
125.613	AxisExited	UnityEngine.GameObject	axis Land-Value	-4544160			
125.613	AxisExited	UnityEngine.GameObject	axis Longitude	-4544672			
125.613	VisExited	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992			
125.701	FilterBubbleCollapsed	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992	UnityEngine.GameObject	FilterBubbleButton	-4545296
125.754	FilterBubbleCollapsed	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4544992	UnityEngine.GameObject	FilterBubbleButton	-4545296
135.376	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
135.376	ExtrusionFromDesktopStarted	UnityEngine.GameObject	MonitorCube(Clone)	-4549852	UnityEngine.GameObject	Controller (right)	18530
136.965	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
136.968	ExtrusionFromDesktopFinishedSuccess	UnityEngine.GameObject	MonitorCube(Clone)	-4549852	UnityEngine.GameObject	Controller (right)	18530
136.982	AxisEntered	UnityEngine.GameObject	axis Longitude	-4550474			
137.000	AxisExited	UnityEngine.GameObject	axis Longitude	-4550474			
137.000	AxisEntered	UnityEngine.GameObject	axis Land-Value	-4549962			
137.000	AxisEntered	UnityEngine.GameObject	axis Longitude	-4550474			
137.000	VisEntered	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4550794			
137.366	AxisExited	UnityEngine.GameObject	axis Land-Value	-4549962			
137.366	AxisExited	UnityEngine.GameObject	axis Longitude	-4550474			
137.366	VisExited	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4550794			
137.366	AxisEntered	UnityEngine.GameObject	axis Longitude	-4550474			
137.598	AxisExited	UnityEngine.GameObject	axis Longitude	-4550474			
137.598	AxisEntered	UnityEngine.GameObject	axis Land-Value	-4549962			
137.598	AxisEntered	UnityEngine.GameObject	axis Longitude	-4550474			
137.598	VisEntered	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4550794			
138.198	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
138.198	VisGrabbed	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4550794			
138.198	AxisGrab	UnityEngine.GameObject	axis Longitude	-4550474			
138.198	AxisRelease	UnityEngine.GameObject	axis Longitude	-4550474			
138.199	AxisGrab	UnityEngine.GameObject	axis Land-Value	-4549962			
138.199	AxisRelease	UnityEngine.GameObject	axis Land-Value	-4549962			
138.943	AxisExited	UnityEngine.GameObject	axis Land-Value	-4549962			
138.943	AxisExited	UnityEngine.GameObject	axis Longitude	-4550474			
138.943	VisExited	UnityEngine.GameObject	axis Land-Value axis Longitude visualisation	-4550794			
138.943	AxisEntered	UnityEngine.GameObject	axis Longitude	-4550474			
139.008	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
139.078	AxisExited	UnityEngine.GameObject	axis Longitude	-4550474			
185.787	AxisEntered	UnityEngine.GameObject	axis Price	-4534098			
185.787	VisEntered	UnityEngine.GameObject	axis Price visualisation	-4540012			
185.975	AxisExited	UnityEngine.GameObject	axis Price	-4534098			
185.975	VisExited	UnityEngine.GameObject	axis Price visualisation	-4540012			
188.109	AxisEntered	UnityEngine.GameObject	axis Price	-4534098			
188.297	AxisExited	UnityEngine.GameObject	axis Price	-4534098			
189.120	AxisEntered	UnityEngine.GameObject	axis Floor-Level	-4537466			
189.120	VisEntered	UnityEngine.GameObject	axis Floor-Level visualisation	-4543148			
189.165	AxisExited	UnityEngine.GameObject	axis Floor-Level	-4537466			
189.165	VisExited	UnityEngine.GameObject	axis Floor-Level visualisation	-4543148			
207.643	AxisEntered	UnityEngine.GameObject	axis Floor-Level	-4537466			
207.643	VisEntered	UnityEngine.GameObject	axis Floor-Level visualisation	-4543148			
208.064	AxisExited	UnityEngine.GameObject	axis Floor-Level	-4537466			
208.064	VisExited	UnityEngine.GameObject	axis Floor-Level visualisation	-4543148			
209.076	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
209.943	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
221.220	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
221.687	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
229.830	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
230.542	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
231.109	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
231.811	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
232.699	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
233.131	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
234.831	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
237.464	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
289.487	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
289.487	ExtrusionFromDesktopStarted	UnityEngine.GameObject	MonitorCube(Clone)	-4549852	UnityEngine.GameObject	Controller (right)	18530
290.876	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
291.619	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
291.756	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
Timestamp	ActionName	ActionSourceObj	ActionSourceObjName	ActionSourceObjID	ActionTargetObj	ActionTargetObjName	ActionTargetObjID
