Timestamp	ActionName	ActionSourceObj	ActionSourceObjName	ActionSourceObjID	ActionTargetObj	ActionTargetObjName	ActionTargetObjID
103.330	touchpadUpPress	UnityEngine.GameObject	Controller (right)	18530			
103.331	BrushStarted	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
103.331	Brush	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
103.785	touchpadUpRelease	UnityEngine.GameObject	Controller (right)	18530			
103.785	BrushEnd	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
105.664	touchpadUpPress	UnityEngine.GameObject	Controller (right)	18530			
105.933	touchpadUpRelease	UnityEngine.GameObject	Controller (right)	18530			
105.933	BrushEnd	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
163.530	AxisEntered	UnityEngine.GameObject	axis Price	-8963892			
163.530	AxisEntered	UnityEngine.GameObject	axis Size	-8964404			
163.530	VisEntered	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
163.897	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
163.897	VisGrabbed	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
163.898	AxisGrab	UnityEngine.GameObject	axis Size	-8964404			
163.898	AxisRelease	UnityEngine.GameObject	axis Size	-8964404			
163.898	AxisGrab	UnityEngine.GameObject	axis Price	-8963892			
163.898	AxisRelease	UnityEngine.GameObject	axis Price	-8963892			
166.031	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
166.032	AxisReleasedInVis	UnityEngine.GameObject	axis Size	-8964404			
166.033	AxisReleasedInVis	UnityEngine.GameObject	axis Price	-8963892			
166.130	AxisExited	UnityEngine.GameObject	axis Price	-8963892			
166.130	AxisExited	UnityEngine.GameObject	axis Size	-8964404			
166.130	VisExited	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
166.130	AxisEntered	UnityEngine.GameObject	axis Size	-8964404			
166.174	AxisExited	UnityEngine.GameObject	axis Size	-8964404			
224.364	AxisEntered	UnityEngine.GameObject	axis Price	-8963892			
224.364	AxisEntered	UnityEngine.GameObject	axis Size	-8964404			
224.364	VisEntered	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
224.553	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
224.554	VisGrabbed	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
224.554	AxisGrab	UnityEngine.GameObject	axis Size	-8964404			
224.554	AxisRelease	UnityEngine.GameObject	axis Size	-8964404			
224.554	AxisGrab	UnityEngine.GameObject	axis Price	-8963892			
224.554	AxisRelease	UnityEngine.GameObject	axis Price	-8963892			
227.640	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
227.642	AxisReleasedInVis	UnityEngine.GameObject	axis Size	-8964404			
227.643	AxisReleasedInVis	UnityEngine.GameObject	axis Price	-8963892			
228.230	AxisExited	UnityEngine.GameObject	axis Price	-8963892			
228.230	AxisExited	UnityEngine.GameObject	axis Size	-8964404			
228.230	VisExited	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
243.933	AxisEntered	UnityEngine.GameObject	axis Size	-8964404			
243.997	AxisExited	UnityEngine.GameObject	axis Size	-8964404			
244.030	AxisEntered	UnityEngine.GameObject	axis Price	-8963892			
244.030	AxisEntered	UnityEngine.GameObject	axis Size	-8964404			
244.030	VisEntered	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
244.175	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
244.175	VisGrabbed	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
244.175	AxisGrab	UnityEngine.GameObject	axis Size	-8964404			
244.176	AxisRelease	UnityEngine.GameObject	axis Size	-8964404			
244.176	AxisGrab	UnityEngine.GameObject	axis Price	-8963892			
244.176	AxisRelease	UnityEngine.GameObject	axis Price	-8963892			
246.187	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
246.188	AxisReleasedInVis	UnityEngine.GameObject	axis Size	-8964404			
246.190	AxisReleasedInVis	UnityEngine.GameObject	axis Price	-8963892			
246.318	AxisExited	UnityEngine.GameObject	axis Price	-8963892			
246.318	AxisExited	UnityEngine.GameObject	axis Size	-8964404			
246.318	VisExited	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820			
250.299	FilterBubbleCollapsed	UnityEngine.GameObject	axis Price axis Size visualisation	-8964820	UnityEngine.GameObject	FilterBubbleButton	-8965124
255.208	AxisEntered	UnityEngine.GameObject	axis Renovation-Year	-8953670			
255.208	VisEntered	UnityEngine.GameObject	axis Renovation-Year visualisation	-8959548			
256.308	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
256.309	AxisCloningInitiated	UnityEngine.GameObject	axis Renovation-Year	-8953670			
256.711	AxisExited	UnityEngine.GameObject	axis Renovation-Year	-8953670			
256.711	VisExited	UnityEngine.GameObject	axis Renovation-Year visualisation	-8959548			
257.103	AxisCloned	UnityEngine.GameObject	axis Renovation-Year	-8965444			
257.123	AxisEntered	UnityEngine.GameObject	axis Renovation-Year	-8965444			
257.123	VisEntered	UnityEngine.GameObject	axis Renovation-Year visualisation	-8966006			
257.165	AxisExited	UnityEngine.GameObject	axis Renovation-Year	-8965444			
257.165	VisExited	UnityEngine.GameObject	axis Renovation-Year visualisation	-8966006			
257.479	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
257.758	AxisEntered	UnityEngine.GameObject	axis Renovation-Year	-8965444			
257.758	VisEntered	UnityEngine.GameObject	axis Renovation-Year visualisation	-8966006			
258.040	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
258.040	AxisGrab	UnityEngine.GameObject	axis Renovation-Year	-8965444			
258.040	AxisRelease	UnityEngine.GameObject	axis Renovation-Year	-8965444			
259.523	triggerRelease	UnityEngine.GameObject	Controller (right)	18530			
259.524	AxisReleasedInVis	UnityEngine.GameObject	axis Renovation-Year	-8965444			
259.719	AxisExited	UnityEngine.GameObject	axis Renovation-Year	-8965444			
259.719	VisExited	UnityEngine.GameObject	axis Renovation-Year visualisation	-8966006			
261.231	FilterBubbleCollapsed	UnityEngine.GameObject	axis Renovation-Year visualisation	-8966006	UnityEngine.GameObject	FilterBubbleButton	-8966310
261.506	AxisEntered	UnityEngine.GameObject	axis Year-Built	-8953218			
261.506	VisEntered	UnityEngine.GameObject	axis Year-Built visualisation	-8959100			
261.866	triggerPress	UnityEngine.GameObject	Controller (right)	18530			
261.866	AxisCloningInitiated	UnityEngine.GameObject	axis Year-Built	-8953218			
262.063	AxisExited	UnityEngine.GameObject	axis Year-Built	-8953218			
