Timestamp	codapJsonLoad
38.918	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"delete","type":"DG.GraphView","id":5514,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":305}
41.173	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"move","type":"DG.GraphView","id":4041,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":305}
50.006	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Price","attribute":{"id":10,"name":"Price","title":"Price"},"collection":{"id":5,"name":"cases","title":"cases"},"context":{"id":4,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":305}
52.051	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"Price","attribute":{"id":10,"name":"Price","title":"Price"},"collection":{"id":5,"name":"cases","title":"cases"},"context":{"id":4,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":305}
67.063	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"rescaleGraph","type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":305}
68.508	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":305}
69.744	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":305}
71.084	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":305}
75.929	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize","type":"DG.GraphView","id":4041,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":305}
77.989	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"change axis bounds","newBounds":{"lower":3076960.7843137253,"upper":8139460.784313725},"type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":305}
79.739	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":305}
81.291	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":305}
82.421	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":305}
83.967	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"change axis bounds","newBounds":{"lower":4683425.103912532,"upper":5419047.477862112},"type":"DG.GraphView"}},"typeOfMessage":"CODAPLOGGING","color":305}
84.687	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":305}
85.306	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":305}
86.338	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":305}
88.088	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":305}
89.530	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true,"cases":[{"id":6847,"context":{"id":4,"name":"vancouverHousing"},"collection":{"id":5,"name":"cases","parent":null},"values":{"PID":"029-321-140","Latitude":"49.259256","Longitude":"-123.201659","Price":"4871000","Size":"3498","Building-Type":"Highrise Apartment","Year-Built":"2002","Renovation-Year":"2002","Renovation-Value":"1040000","Land-Value":"3831000","Neighbourhood":"West Point Grey","Floor-Level":"59","Main-View":"East"}}],"extend":false}}},"typeOfMessage":"CODAPLOGGING","color":305}
112.547	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"resize column","type":"DG.CaseTable"}},"typeOfMessage":"CODAPLOGGING","color":305}
172.140	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Size","attribute":{"id":11,"name":"Size","title":"Size"},"collection":{"id":5,"name":"cases","title":"cases"},"context":{"id":4,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":305}
173.596	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"Size","attribute":{"id":11,"name":"Size","title":"Size"},"collection":{"id":5,"name":"cases","title":"cases"},"context":{"id":4,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":305}
264.075	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"Renovation-Value","attribute":{"id":14,"name":"Renovation-Value","title":"Renovation-Value"},"collection":{"id":5,"name":"cases","title":"cases"},"context":{"id":4,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":305}
265.419	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"Renovation-Value","attribute":{"id":14,"name":"Renovation-Value","title":"Renovation-Value"},"collection":{"id":5,"name":"cases","title":"cases"},"context":{"id":4,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":305}
