Timestamp	ActionName	ActionSourceObj	ActionSourceObjName	ActionSourceObjID	ActionTargetObj	ActionTargetObjName	ActionTargetObjID
342.609	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
342.609	VisEntered	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
342.798	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
342.798	AxisCloningInitiated	UnityEngine.GameObject	axis Land-Value	-1410936			
342.976	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
342.976	VisExited	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
343.043	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
343.043	VisEntered	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
343.366	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
343.366	VisExited	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
343.710	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
343.732	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
363.998	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
363.998	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
363.998	VisEntered	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
364.209	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
364.209	VisExited	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
364.209	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
364.722	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
364.722	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
364.722	VisEntered	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
365.632	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
365.632	AxisCloningInitiated	UnityEngine.GameObject	axis Land-Value	-1410936			
366.231	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
366.231	VisExited	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
366.454	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
366.454	VisEntered	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
366.466	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
366.466	VisExited	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
366.687	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
366.876	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
391.609	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
391.609	AxisEntered	UnityEngine.GameObject	axis Renovation-Year	-1409984			
391.609	VisEntered	UnityEngine.GameObject	axis Renovation-Year visualisation	-1415834			
391.931	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
391.931	AxisCloningInitiated	UnityEngine.GameObject	axis Renovation-Year	-1409984			
392.253	AxisExited	UnityEngine.GameObject	axis Renovation-Year	-1409984			
392.253	VisExited	UnityEngine.GameObject	axis Renovation-Year visualisation	-1415834			
392.253	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
394.665	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
394.668	AxisCloned	UnityEngine.GameObject	axis Renovation-Year	-1423828			
394.688	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
394.688	AxisEntered	UnityEngine.GameObject	axis Renovation-Year	-1423828			
394.688	VisEntered	UnityEngine.GameObject	axis Renovation-Year visualisation	-1424390			
394.976	AxisExited	UnityEngine.GameObject	axis Renovation-Year	-1423828			
394.976	VisExited	UnityEngine.GameObject	axis Renovation-Year visualisation	-1424390			
394.976	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
396.855	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
396.855	AxisCloningInitiated	UnityEngine.GameObject	axis Land-Value	-1410936			
397.031	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
397.032	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-1410424			
397.243	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-1410424			
397.244	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-1410424			
397.244	VisEntered	UnityEngine.GameObject	axis Renovation-Value visualisation	-1416278			
397.787	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
398.965	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-1410424			
398.965	VisExited	UnityEngine.GameObject	axis Renovation-Value visualisation	-1416278			
398.965	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
399.076	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
399.076	AxisCloningInitiated	UnityEngine.GameObject	axis Land-Value	-1410936			
399.199	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
399.199	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-1410424			
399.331	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-1410424			
399.331	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-1410424			
399.331	VisEntered	UnityEngine.GameObject	axis Renovation-Value visualisation	-1416278			
399.544	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
399.942	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-1410424			
399.942	VisExited	UnityEngine.GameObject	axis Renovation-Value visualisation	-1416278			
399.942	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
400.410	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
400.410	AxisEntered	UnityEngine.GameObject	axis Renovation-Year	-1409984			
400.410	VisEntered	UnityEngine.GameObject	axis Renovation-Year visualisation	-1415834			
400.587	AxisExited	UnityEngine.GameObject	axis Renovation-Year	-1409984			
400.587	VisExited	UnityEngine.GameObject	axis Renovation-Year visualisation	-1415834			
400.587	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
401.087	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
401.087	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-1410424			
401.087	VisEntered	UnityEngine.GameObject	axis Renovation-Value visualisation	-1416278			
401.354	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-1410424			
401.354	VisExited	UnityEngine.GameObject	axis Renovation-Value visualisation	-1416278			
401.354	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
401.621	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
401.621	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-1410424			
401.621	VisEntered	UnityEngine.GameObject	axis Renovation-Value visualisation	-1416278			
401.987	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
401.987	AxisCloningInitiated	UnityEngine.GameObject	axis Renovation-Value	-1410424			
402.532	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-1410424			
402.532	VisExited	UnityEngine.GameObject	axis Renovation-Value visualisation	-1416278			
402.532	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
403.821	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
404.432	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
404.439	AxisCloned	UnityEngine.GameObject	axis Renovation-Value	-1424942			
404.943	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
405.109	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
405.109	AxisCloningInitiated	UnityEngine.GameObject	axis Land-Value	-1410936			
405.132	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
405.132	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-1424942			
405.443	AxisExited	UnityEngine.GameObject	axis Renovation-Value	-1424942			
405.443	AxisEntered	UnityEngine.GameObject	axis Land-Value	-1410936			
405.443	VisEntered	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
405.587	AxisExited	UnityEngine.GameObject	axis Land-Value	-1410936			
405.587	VisExited	UnityEngine.GameObject	axis Land-Value visualisation	-1416722			
405.587	AxisEntered	UnityEngine.GameObject	axis Renovation-Value	-1424942			
405.666	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
405.954	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
405.954	AxisGrab	UnityEngine.GameObject	axis Renovation-Value	-1424942			
405.954	AxisRelease	UnityEngine.GameObject	axis Renovation-Value	-1424942			
408.810	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
408.811	AxisReleasedInVis	UnityEngine.GameObject	axis Renovation-Value	-1424942			
