Timestamp	ActionName	ActionSourceObj	ActionSourceObjName	ActionSourceObjID	ActionTargetObj	ActionTargetObjName	ActionTargetObjID
1454.193	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
1455.005	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
1621.994	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
1622.460	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
1624.625	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
1624.760	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1624.805	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1625.294	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
1625.316	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1625.927	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
1625.928	AxisCloningInitiated	UnityEngine.GameObject	axis Building-Type	-765860			
1626.038	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1627.149	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
1627.152	AxisCloned	UnityEngine.GameObject	axis Building-Type	-786922			
1627.161	AxisEntered	UnityEngine.GameObject	axis Building-Type	-786922			
1627.199	AxisExited	UnityEngine.GameObject	axis Building-Type	-786922			
1627.199	AxisEntered	UnityEngine.GameObject	axis Building-Type	-786922			
1627.199	VisEntered	UnityEngine.GameObject	axis Building-Type visualisation	-787292			
1627.311	AxisExited	UnityEngine.GameObject	axis Building-Type	-786922			
1627.311	VisExited	UnityEngine.GameObject	axis Building-Type visualisation	-787292			
1627.615	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1628.194	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
1628.194	AxisCloningInitiated	UnityEngine.GameObject	axis Building-Type	-765860			
1628.338	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1631.227	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
1631.230	AxisCloned	UnityEngine.GameObject	axis Building-Type	-787772			
1631.238	AxisEntered	UnityEngine.GameObject	axis Building-Type	-787772			
1631.271	AxisExited	UnityEngine.GameObject	axis Building-Type	-787772			
1631.271	AxisEntered	UnityEngine.GameObject	axis Building-Type	-787772			
1631.271	VisEntered	UnityEngine.GameObject	axis Building-Type visualisation	-788142			
1631.349	AxisExited	UnityEngine.GameObject	axis Building-Type	-787772			
1631.349	VisExited	UnityEngine.GameObject	axis Building-Type visualisation	-788142			
1632.005	FilterBubbleCollapsed	UnityEngine.GameObject	axis Building-Type visualisation	-788142	UnityEngine.GameObject	FilterBubbleButton	-788442
1632.093	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1632.093	VisEntered	UnityEngine.GameObject	axis Building-Type visualisation	-771658			
1632.493	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1632.493	VisExited	UnityEngine.GameObject	axis Building-Type visualisation	-771658			
1632.493	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1632.639	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
1632.639	AxisCloningInitiated	UnityEngine.GameObject	axis Building-Type	-765860			
1632.826	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1633.294	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1633.294	VisEntered	UnityEngine.GameObject	axis Building-Type visualisation	-771658			
1633.338	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1633.338	VisExited	UnityEngine.GameObject	axis Building-Type visualisation	-771658			
1633.616	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
1633.649	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1633.781	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1633.781	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1633.781	VisEntered	UnityEngine.GameObject	axis Building-Type visualisation	-771658			
1634.259	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
1634.260	AxisCloningInitiated	UnityEngine.GameObject	axis Building-Type	-765860			
1634.460	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1634.460	VisExited	UnityEngine.GameObject	axis Building-Type visualisation	-771658			
1634.750	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
1634.771	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1634.926	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1634.926	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1634.926	VisEntered	UnityEngine.GameObject	axis Building-Type visualisation	-771658			
1635.338	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
1635.338	AxisCloningInitiated	UnityEngine.GameObject	axis Building-Type	-765860			
1636.171	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1636.171	VisExited	UnityEngine.GameObject	axis Building-Type visualisation	-771658			
1636.171	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1636.361	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
1636.860	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1637.026	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1637.204	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1637.827	AxisEntered	UnityEngine.GameObject	axis Building-Type	-765860			
1637.827	VisEntered	UnityEngine.GameObject	axis Building-Type visualisation	-771658			
1638.226	AxisExited	UnityEngine.GameObject	axis Building-Type	-765860			
1638.226	VisExited	UnityEngine.GameObject	axis Building-Type visualisation	-771658			
1638.616	AxisEntered	UnityEngine.GameObject	axis Price	-766204			
1638.694	AxisExited	UnityEngine.GameObject	axis Price	-766204			
1639.763	AxisEntered	UnityEngine.GameObject	axis Price	-766204			
1640.138	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
1640.138	AxisCloningInitiated	UnityEngine.GameObject	axis Price	-766204			
1640.326	AxisExited	UnityEngine.GameObject	axis Price	-766204			
1643.383	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
1643.388	AxisCloned	UnityEngine.GameObject	axis Price	-788730			
1643.394	AxisEntered	UnityEngine.GameObject	axis Price	-788730			
1643.682	AxisExited	UnityEngine.GameObject	axis Price	-788730			
1653.305	AxisEntered	UnityEngine.GameObject	axis Price	-788730			
1653.305	VisEntered	UnityEngine.GameObject	axis Price visualisation	-789436			
1653.327	AxisExited	UnityEngine.GameObject	axis Price	-788730			
1653.327	VisExited	UnityEngine.GameObject	axis Price visualisation	-789436			
1653.650	FilterBubbleCollapsed	UnityEngine.GameObject	axis Price visualisation	-789436	UnityEngine.GameObject	FilterBubbleButton	-789736
1654.383	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
1655.183	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
1655.460	FilterBubbleCollapsed	UnityEngine.GameObject	axis Price visualisation	-789436	UnityEngine.GameObject	FilterBubbleButton	-789736
1655.539	AxisEntered	UnityEngine.GameObject	axis Price	-788730			
1655.539	VisEntered	UnityEngine.GameObject	axis Price visualisation	-789436			
1655.605	AxisExited	UnityEngine.GameObject	axis Price	-788730			
1655.605	VisExited	UnityEngine.GameObject	axis Price visualisation	-789436			
1655.890	FilterBubbleCollapsed	UnityEngine.GameObject	axis Price visualisation	-789436	UnityEngine.GameObject	FilterBubbleButton	-789736
1656.638	triggerPress	UnityEngine.GameObject	Controller (right)	42272			
1657.116	triggerRelease	UnityEngine.GameObject	Controller (right)	42272			
