Timestamp	codapJsonLoad
1449.914	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true,"cases":[{"id":456,"parent":null,"context":{"id":3,"name":"vancouverHousing"},"collection":{"id":4,"name":"cases","parent":null},"values":{"pid":"025-610-686","zoneType":"One Family Dwelling","postal":"V5K4T2","currentLandValue":"71244000","currentImprovementValue":"22500","buildingValue":"848699.7298","yearBuilt":"1991","buildingAge":"30","bigImprovementYear":"1991","latitude":"49.275346","longitude":"-123.023786","neighbourhoodName":"Hastings-Sunrise","Median-Age":"42.1","median total income of household":"68506","percantage with university certificate":"9.39"}}],"extend":true}}},"typeOfMessage":"CODAPLOGGING","color":245}
1725.856	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"buildingValue","attribute":{"id":10,"name":"buildingValue","title":"buildingValue"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":245}
1727.579	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"buildingValue","attribute":{"id":10,"name":"buildingValue","title":"buildingValue"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":245}
1757.657	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"yearBuilt","attribute":{"id":11,"name":"yearBuilt","title":"yearBuilt"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":245}
1760.690	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"moveAttribute","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":245}
1761.702	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"yearBuilt","attribute":{"id":11,"name":"yearBuilt","title":"yearBuilt"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":245}
1763.468	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragend","text":"yearBuilt","attribute":{"id":11,"name":"yearBuilt","title":"yearBuilt"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":245}
1767.734	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"yearBuilt","attribute":{"id":11,"name":"yearBuilt","title":"yearBuilt"},"collection":{"id":4,"name":"cases","title":"cases"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":245}
1769.192	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"createCollection","result":{"success":true,"collection":1448,"name":"yearBuilts","attribute":"yearBuilt"}}},"typeOfMessage":"CODAPLOGGING","color":245}
1777.812	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dragDrop[attribute]","values":{"operation":"dragstart","text":"yearBuilt","attribute":{"id":11,"name":"yearBuilt","title":"yearBuilt"},"collection":{"id":1448,"name":"yearBuilts","title":"yearBuilts"},"context":{"id":3,"name":"vancouverHousing","title":"vancouverHousing"}}},"typeOfMessage":"CODAPLOGGING","color":245}
1779.156	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"moveAttribute","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":245}
1854.057	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"create","type":"graph","id":1544}},"typeOfMessage":"CODAPLOGGING","color":245}
1860.445	{"sender":"codap","id":1,"text":{"action":"notify","resource":"dataContextChangeNotice[vancouverHousing]","values":{"operation":"selectCases","result":{"success":true}}},"typeOfMessage":"CODAPLOGGING","color":245}
1861.213	{"sender":"codap","id":1,"text":{"action":"notify","resource":"component","values":{"operation":"delete","type":"DG.GraphView","id":1544,"title":"cases"}},"typeOfMessage":"CODAPLOGGING","color":245}
